index,base,category,location,description,confidence,source_raw,data_mp4,data_cover,old_data_size_bytes,raw_size_bytes,duration_s,width,height,codec,bit_rate,status
12,8e02080bb5891751f356e8ca27a95660,交通途中,出租车/车内路景,从车窗拍道路、栏杆和城市建筑，属于车程路景。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8e02080bb5891751f356e8ca27a95660_raw.mp4,E:\Project\1600\data\02_酒店娱乐场与路氹车窗\12_出租车车内路景_道路栏杆和城市建筑.mp4,E:\Project\1600\data\02_酒店娱乐场与路氹车窗\12_出租车车内路景_道路栏杆和城市建筑.jpg,911125,14079602,8.11,1920,1080,hevc,13897201,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
13,ddabbe8b50196e85609ae34329ccca8b,历史城区,澳门历史城区教堂/广场附近,拍到葡式教堂外立面、游客和周边广场，接近大三巴周边游览段。,中,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\ddabbe8b50196e85609ae34329ccca8b_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\13_澳门历史城区_葡式教堂外立面和游客.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\13_澳门历史城区_葡式教堂外立面和游客.jpg,1550025,16253190,7.91,1920,1080,hevc,16448516,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
14,42baabb5bc0e395dd04219680b14a138,历史城区,澳门历史城区教堂/街区附近,继续在葡式建筑旁移动，画面有人群、街巷和历史城区环境。,中,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\42baabb5bc0e395dd04219680b14a138_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\14_澳门历史城区_葡式建筑旁街巷移动.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\14_澳门历史城区_葡式建筑旁街巷移动.jpg,1095565,12473768,6.95,1920,1080,hevc,14354851,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
15,61ef0126a57d13957383bfbaad6d30b7,餐饮街,大三巴附近小吃/商业街,店铺招牌、人流和街边餐饮氛围明显，像在觅食或逛街。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\61ef0126a57d13957383bfbaad6d30b7_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\15_大三巴附近小吃街_店铺招牌人流和餐饮街景.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\15_大三巴附近小吃街_店铺招牌人流和餐饮街景.jpg,1060847,12017408,6.94,1920,1080,hevc,13859576,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
16,2e80a11a9b29ecd6077bb4e2921b4127,NBA 店,澳门官方 NBA 店,店内陈列球衣、篮球服饰和运动周边。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2e80a11a9b29ecd6077bb4e2921b4127_raw.mp4,E:\Project\1600\data\07_澳门官方NBA店\16_澳门官方NBA店_球衣服饰和运动周边陈列.mp4,E:\Project\1600\data\07_澳门官方NBA店\16_澳门官方NBA店_球衣服饰和运动周边陈列.jpg,1330117,20470458,10.73,1920,1080,hevc,15266966,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
17,814c42a7be134eccd822135d4080e115,历史城区街道,大三巴附近商业步行街,狭窄热闹街道、密集招牌和人流，属于大三巴周边商业街。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\814c42a7be134eccd822135d4080e115_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\17_大三巴附近商业步行街_狭窄街道密集招牌.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\17_大三巴附近商业步行街_狭窄街道密集招牌.jpg,1258991,12091681,6.74,1920,1080,hevc,14359244,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
18,d4a7d8584c9f27a7a6c03b4c8f40495e,用餐,大三巴附近餐厅,餐桌前人物正在吃饭，核心内容是同学用餐。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\d4a7d8584c9f27a7a6c03b4c8f40495e_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\18_大三巴附近餐厅_同学在餐桌前吃饭.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\18_大三巴附近餐厅_同学在餐桌前吃饭.jpg,1338876,38492344,13.15,1920,1080,hevc,23420364,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
19,e95805c7f415771bce8428494199b770,用餐,大三巴附近餐厅,近距离拍摄芝士/焗类食物和面条。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\e95805c7f415771bce8428494199b770_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\19_大三巴附近餐厅_芝士焗食物和面条特写.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\19_大三巴附近餐厅_芝士焗食物和面条特写.jpg,1279280,18151530,10.88,1920,1080,hevc,13350803,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
20,6f1937780dca16a3bd57cb2febcb24bf,店铺/转场,大三巴周边商业区六福珠宝店,大三巴周边商业区的六福珠宝店内，镜头拍到珠宝橱窗、柜台陈列和店员/顾客互动。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\6f1937780dca16a3bd57cb2febcb24bf_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\20_大三巴周边店铺_橱窗陈列和室内店铺环境.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\20_大三巴周边店铺_橱窗陈列和室内店铺环境.jpg,454586,5373879,3.07,1920,1080,hevc,14011201,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
21,714846817e2a1f873fb2012621036e60,历史城区街道,大三巴附近商业街/步行街,一行人在游客密集的老城区街巷中往景点方向步行。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\714846817e2a1f873fb2012621036e60_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\21_大三巴附近商业街_游客密集老城区街巷步行.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\21_大三巴附近商业街_游客密集老城区街巷步行.jpg,2639445,27325935,13.14,1920,1080,hevc,16630466,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
22,f1ad5ee37f271706d5a648440a65c389,历史城区街道,大三巴附近手信/餐饮街,狭窄热闹的店铺街道，人流很密集。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\f1ad5ee37f271706d5a648440a65c389_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\22_大三巴附近手信餐饮街_狭窄热闹店铺街道.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\22_大三巴附近手信餐饮街_狭窄热闹店铺街道.jpg,1571393,16326663,8.71,1920,1080,hevc,15001527,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
23,d180ec76e0ee73f52965ab38cc2bcc0c,大三巴周边,通往大三巴牌坊的街道,街道尽头能看到大三巴牌坊，正在接近景点核心区。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\d180ec76e0ee73f52965ab38cc2bcc0c_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\23_通往大三巴牌坊的街道_街道尽头可见牌坊.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\23_通往大三巴牌坊的街道_街道尽头可见牌坊.jpg,1429227,15933951,8.12,1920,1080,hevc,15698473,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
24,abacc2df6de81ca8fab0abda20367748,大三巴,大三巴牌坊前广场及周边历史建筑,大三巴牌坊前广场及周边历史建筑，游客聚集在石阶和广场空间中，画面可见牌坊与黄色葡式建筑立面。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\abacc2df6de81ca8fab0abda20367748_raw.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\24_大三巴牌坊前广场_游客聚集和历史建筑立面.mp4,E:\Project\1600\data\03_大三巴周边街道与用餐\24_大三巴牌坊前广场_游客聚集和历史建筑立面.jpg,1467846,13799186,7.64,1920,1080,hevc,14449409,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
25,28cc8676627b3cae9b425cd723add170,大三巴,大三巴牌坊正面近景,近距离拍摄大三巴牌坊正面石构、雕刻细节，底部可见游客经过。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\28cc8676627b3cae9b425cd723add170_raw.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\25_大三巴牌坊正面_牌坊和台阶游客.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\25_大三巴牌坊正面_牌坊和台阶游客.jpg,1658635,23980794,13.47,1920,1080,hevc,14237206,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
26,648de7cfb24b5cac98eb10d77078f5e5,大三巴,大三巴牌坊旁平台/广场,大三巴牌坊旁平台/广场游客密集，画面可见牌坊边缘、广场人流和远处城市天际线。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\648de7cfb24b5cac98eb10d77078f5e5_raw.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\26_大三巴牌坊近景侧面_石构细节和人群.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\26_大三巴牌坊近景侧面_石构细节和人群.jpg,1091965,11042849,5.99,1920,1080,hevc,14752484,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
27,2fe7dfa80e9a33536cb81d72efbb8ae8,大三巴,圣物宝库与墓室,画面有“天主教艺术博物馆与墓室 / Museum of Sacred Art and Crypt”标识和展陈。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2fe7dfa80e9a33536cb81d72efbb8ae8_raw.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\27_圣物宝库与墓室_展区标识和宗教展陈.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\27_圣物宝库与墓室_展区标识和宗教展陈.jpg,1585547,30927316,14.51,1920,1080,hevc,17055504,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
28,9415435955c310e12458d86687e7ff2d,大炮台路段,大三巴后方通往大炮台的上坡路径,沿石阶和树荫小路向上走，像前往大炮台或澳门博物馆。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\9415435955c310e12458d86687e7ff2d_raw.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\28_通往大炮台上坡路_石阶树荫小路向上走.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\28_通往大炮台上坡路_石阶树荫小路向上走.jpg,4727796,57690058,25.74,1920,1080,hevc,17930087,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
29,a346f756e21d3168de9e2587cd799bda,大炮台,大炮台外墙/平台,炮台石墙、开阔石路和游客合影。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\a346f756e21d3168de9e2587cd799bda_raw.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\29_大炮台外墙平台_炮台石墙石路和游客合影.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\29_大炮台外墙平台_炮台石墙石路和游客合影.jpg,1114397,12593797,5.47,1920,1080,hevc,18418715,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
30,c0c54473bb6c6d5120b3d006c53c6610,大炮台,大炮台入口/石墙通道,拍摄炮台遗址石门、墙体、巷道和小神龛。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\c0c54473bb6c6d5120b3d006c53c6610_raw.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\30_大炮台入口石墙通道_遗址石门墙体和小神龛.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\30_大炮台入口石墙通道_遗址石门墙体和小神龛.jpg,4254209,54027630,27.31,1920,1080,hevc,15828407,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
31,c4f86bf6e6deb213e85c9e9e19efa7b8,宗教建筑,历史城区教堂内部,进入教堂式室内空间，拍到长椅、祭台和宗教装饰。,中,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\c4f86bf6e6deb213e85c9e9e19efa7b8_raw.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\31_历史城区教堂内部_长椅祭台和宗教装饰.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\31_历史城区教堂内部_长椅祭台和宗教装饰.jpg,1163941,30016215,10.89,1920,1080,hevc,22043732,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
32,4f64df9386f36740698e0c98d9233b09,历史城区街区,历史城区广场/议事亭前地一带,在历史城区广场步行，画面有葡式建筑立面、黑白波浪纹地面和游客人流。,中高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\4f64df9386f36740698e0c98d9233b09_raw.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\32_大三巴至恋爱巷周边_葡式建筑和广场步行.mp4,E:\Project\1600\data\04_大三巴牌坊圣物宝库大炮台\32_大三巴至恋爱巷周边_葡式建筑和广场步行.jpg,1396210,13216326,7.47,1920,1080,hevc,14147718,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
33,778c916079308ff9acdc93ddfcf7cf73,交通转场,公交车内，前往路氹/威尼斯人方向,公交车厢内部，乘客站立抓扶手。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\778c916079308ff9acdc93ddfcf7cf73_raw.mp4,E:\Project\1600\data\05_公交地铁与返程交通\33_前往路氹公交车内_乘客站立抓扶手.mp4,E:\Project\1600\data\05_公交地铁与返程交通\33_前往路氹公交车内_乘客站立抓扶手.jpg,712113,8404779,4.85,1920,1080,hevc,13854032,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
34,8743118f5b2b5635e09746a943b1655a,交通转场,公交车内，前往威尼斯人途中,继续拍摄公交车内和窗外景象。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8743118f5b2b5635e09746a943b1655a_raw.mp4,E:\Project\1600\data\05_公交地铁与返程交通\34_前往威尼斯人公交车内_车厢和窗外景象.mp4,E:\Project\1600\data\05_公交地铁与返程交通\34_前往威尼斯人公交车内_车厢和窗外景象.jpg,831019,11741588,6.76,1920,1080,hevc,13902224,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
35,2e7d284b778c9135135deda91b555358,交通转场,交通途中/车内零碎画面,画面较模糊且角度不完整，只能判断仍在移动途中。,低,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2e7d284b778c9135135deda91b555358_raw.mp4,E:\Project\1600\data\05_公交地铁与返程交通\35_交通途中车内零碎画面_模糊移动途中.mp4,E:\Project\1600\data\05_公交地铁与返程交通\35_交通途中车内零碎画面_模糊移动途中.jpg,2096666,23897740,14.18,1920,1080,hevc,13487260,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
36,d32da860661c72cd9f5e753ce85cb7ae,路氹/威尼斯人,路氹金光大道/大型度假区外部,路氹金光大道附近，移动视角扫过威尼斯人/巴黎人一带外立面、道路绿化和大型度假区高楼。,中,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\d32da860661c72cd9f5e753ce85cb7ae_raw.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\36_路氹金光大道_接近威尼斯人周边道路.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\36_路氹金光大道_接近威尼斯人周边道路.jpg,1473765,14428497,8.36,1920,1080,hevc,13812681,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
37,3070b1364c2b03173ca606e2cf408ab6,威尼斯人,威尼斯人外部/入口周边,拍到威尼斯人风格外立面、塔楼和入口区域。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\3070b1364c2b03173ca606e2cf408ab6_raw.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\37_威尼斯人外部入口_外立面塔楼和入口区域.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\37_威尼斯人外部入口_外立面塔楼和入口区域.jpg,630813,6367896,3.59,1920,1080,hevc,14203484,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
38,8b87a1b55d2eb1fb1a6f74e0ea743306,威尼斯人,威尼斯人或相邻商场室内通道,进入大型酒店商场内部，画面为明亮购物廊道。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\8b87a1b55d2eb1fb1a6f74e0ea743306_raw.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\38_威尼斯人室内通道_明亮大型购物廊道.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\38_威尼斯人室内通道_明亮大型购物廊道.jpg,610826,8549472,5.1,1920,1080,hevc,13402177,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
39,80c1263caa12bc78eee9956e82bd07a7,威尼斯人,威尼斯人商场内部中庭/表演区,仿欧式室内立面、中庭和舞台灯光表演。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\80c1263caa12bc78eee9956e82bd07a7_raw.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\39_威尼斯人商场中庭_欧式立面和舞台灯光.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\39_威尼斯人商场中庭_欧式立面和舞台灯光.jpg,985356,14594251,8.52,1920,1080,hevc,13703522,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
40,2da402de799bbd29fb607f81498d3bea,NBA 店,澳门官方 NBA 店,澳门官方 NBA 店内展示主题手办、收藏品和周边商品陈列。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2da402de799bbd29fb607f81498d3bea_raw.mp4,E:\Project\1600\data\07_澳门官方NBA店\40_澳门官方NBA店_主题商品球衣和店内陈列.mp4,E:\Project\1600\data\07_澳门官方NBA店\40_澳门官方NBA店_主题商品球衣和店内陈列.jpg,5464783,77868425,30.86,1920,1080,hevc,20182971,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
41,e8b0fe36cd16716c41d65a53a82302ec,威尼斯人,威尼斯人/附近商场室内观景通道,透过室内大窗拍摄外部欧式建筑和街景。,中,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\e8b0fe36cd16716c41d65a53a82302ec_raw.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\41_威尼斯人室内观景通道_窗外欧式建筑和街景.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\41_威尼斯人室内观景通道_窗外欧式建筑和街景.jpg,840484,13049842,7.67,1920,1080,hevc,13605396,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
42,ec288df7f1c16bd3a48180996f0764fa,威尼斯人,威尼斯人外部/氹仔商圈步行区,户外拍摄威尼斯人风格建筑外立面、广场水景和游客。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\ec288df7f1c16bd3a48180996f0764fa_raw.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\42_威尼斯人外部步行区_建筑外立面水景和游客.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\42_威尼斯人外部步行区_建筑外立面水景和游客.jpg,431301,5646365,3.33,1920,1080,hevc,13544503,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
43,4138f571f72019347ba7504f64f8b0b8,威尼斯人,威尼斯人商场/酒店室内,金色柱廊、穹顶壁画和人流，明显是威尼斯人风格室内空间。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\4138f571f72019347ba7504f64f8b0b8_raw.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\43_威尼斯人商场酒店室内_金色柱廊穹顶壁画.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\43_威尼斯人商场酒店室内_金色柱廊穹顶壁画.jpg,713476,16185642,5.84,1920,1080,hevc,22172112,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
44,2400ae18b5ac14720e2c9ca97ed5e8fc,威尼斯人,威尼斯人商场/酒店室内,拍摄华丽圆形穹顶、壁画和中央装饰。,高,E:\wechat\xwechat_files\wxid_y96utu6cuc6p22_a45e\msg\video\2026-05\2400ae18b5ac14720e2c9ca97ed5e8fc_raw.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\44_威尼斯人室内穹顶_圆形穹顶壁画和中央装饰.mp4,E:\Project\1600\data\06_威尼斯人商场酒店\44_威尼斯人室内穹顶_圆形穹顶壁画和中央装饰.jpg,1179067,21661330,9.53,1920,1080,hevc,18190059,已用原始视频替换 data 中同编号 mp4，并重抽封面与关键帧
